c_lent-sausage,c_new-years-leftover-sausage,c_october-sausage-dump,c_rapujuhlat-sausage,c_tenday-sausage,date,sales_price,sales_quantity
0.0,1.0,0.0,0.0,0.0,2002-01-01,0.70,52.0
0.0,1.0,0.0,0.0,0.0,2002-01-02,0.70,28.0
0.0,1.0,0.0,0.0,0.0,2002-01-03,0.70,76.0
0.0,1.0,0.0,0.0,0.0,2002-01-04,0.70,64.0
0.0,1.0,0.0,0.0,0.0,2002-01-05,0.70,47.0
0.0,0.0,0.0,0.0,0.0,2002-01-06,1.00,39.0
0.0,0.0,0.0,0.0,0.0,2002-01-07,1.00,9.0
0.0,0.0,0.0,0.0,0.0,2002-01-08,1.00,27.0
0.0,0.0,0.0,0.0,0.0,2002-01-09,1.00,26.0
0.0,0.0,0.0,0.0,0.0,2002-01-10,1.00,26.0
0.0,0.0,0.0,0.0,0.0,2002-01-11,1.00,24.0
0.0,0.0,0.0,0.0,0.0,2002-01-12,1.00,10.0
0.0,0.0,0.0,0.0,0.0,2002-01-13,1.00,13.0
0.0,0.0,0.0,0.0,0.0,2002-01-14,1.00,20.0
0.0,0.0,0.0,0.0,0.0,2002-01-15,1.00,21.0
0.0,0.0,0.0,0.0,0.0,2002-01-16,1.00,35.0
0.0,0.0,0.0,0.0,0.0,2002-01-17,1.00,28.0
0.0,0.0,0.0,0.0,0.0,2002-01-18,1.00,24.0
0.0,0.0,0.0,0.0,0.0,2002-01-19,1.00,30.0
0.0,0.0,0.0,0.0,0.0,2002-01-20,1.00,40.0
0.0,0.0,0.0,0.0,0.0,2002-01-21,1.00,36.0
0.0,0.0,0.0,0.0,0.0,2002-01-22,1.00,34.0
0.0,0.0,0.0,0.0,0.0,2002-01-23,1.00,29.0
0.0,0.0,0.0,0.0,0.0,2002-01-24,1.00,15.0
0.0,0.0,0.0,0.0,0.0,2002-01-25,1.00,22.0
0.0,0.0,0.0,0.0,0.0,2002-01-26,1.00,42.0
0.0,0.0,0.0,0.0,0.0,2002-01-27,1.00,27.0
0.0,0.0,0.0,0.0,0.0,2002-01-28,1.00,22.0
0.0,0.0,0.0,0.0,0.0,2002-01-29,1.00,24.0
0.0,0.0,0.0,0.0,0.0,2002-01-30,1.00,28.0
0.0,0.0,0.0,0.0,0.0,2002-01-31,1.00,50.0
0.0,0.0,0.0,0.0,0.0,2002-02-01,1.00,17.0
0.0,0.0,0.0,0.0,0.0,2002-02-02,1.00,23.0
0.0,0.0,0.0,0.0,0.0,2002-02-03,1.00,18.0
0.0,0.0,0.0,0.0,0.0,2002-02-04,1.00,21.0
0.0,0.0,0.0,0.0,0.0,2002-02-05,1.00,29.0
0.0,0.0,0.0,0.0,0.0,2002-02-06,1.00,24.0
0.0,0.0,0.0,0.0,0.0,2002-02-07,1.00,23.0
0.0,0.0,0.0,0.0,0.0,2002-02-08,1.00,40.0
0.0,0.0,0.0,0.0,0.0,2002-02-09,1.00,31.0
0.0,0.0,0.0,0.0,0.0,2002-02-10,1.00,39.0
0.0,0.0,0.0,0.0,0.0,2002-02-11,1.00,27.0
1.0,0.0,0.0,0.0,0.0,2002-02-12,1.00,11.0
1.0,0.0,0.0,0.0,0.0,2002-02-13,1.00,45.0
1.0,0.0,0.0,0.0,0.0,2002-02-14,1.00,40.0
1.0,0.0,0.0,0.0,0.0,2002-02-15,1.00,67.0
1.0,0.0,0.0,0.0,0.0,2002-02-16,1.00,32.0
1.0,0.0,0.0,0.0,0.0,2002-02-17,1.00,20.0
1.0,0.0,0.0,0.0,0.0,2002-02-18,1.00,35.0
1.0,0.0,0.0,0.0,0.0,2002-02-19,1.00,38.0
1.0,0.0,0.0,0.0,0.0,2002-02-20,1.00,27.0
1.0,0.0,0.0,0.0,0.0,2002-02-21,1.00,24.0
1.0,0.0,0.0,0.0,0.0,2002-02-22,1.00,38.0
1.0,0.0,0.0,0.0,0.0,2002-02-23,1.00,31.0
1.0,0.0,0.0,0.0,0.0,2002-02-24,1.00,20.0
1.0,0.0,0.0,0.0,0.0,2002-02-25,1.00,41.0
0.0,0.0,0.0,0.0,0.0,2002-02-26,1.00,44.0
0.0,0.0,0.0,0.0,0.0,2002-02-27,1.00,21.0
0.0,0.0,0.0,0.0,0.0,2002-02-28,1.00,34.0
0.0,0.0,0.0,0.0,0.0,2002-03-01,1.00,27.0
0.0,0.0,0.0,0.0,0.0,2002-03-02,1.00,20.0
0.0,0.0,0.0,0.0,0.0,2002-03-03,1.00,33.0
0.0,0.0,0.0,0.0,0.0,2002-03-04,1.00,24.0
0.0,0.0,0.0,0.0,1.0,2002-03-05,0.80,28.0
0.0,0.0,0.0,0.0,1.0,2002-03-06,0.80,60.0
0.0,0.0,0.0,0.0,1.0,2002-03-07,0.80,55.0
